"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/10/2012","AQS","171190024","5","21.8","ug/m3 LC","71","Gateway Regional Medical Center","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","41180","St. Louis, MO-IL","17","Illinois","119","Madison","38.7006315001362","-90.1447626742938"
"01/16/2012","AQS","171190024","5","11.3","ug/m3 LC","47","Gateway Regional Medical Center","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","41180","St. Louis, MO-IL","17","Illinois","119","Madison","38.7006315001362","-90.1447626742938"
"01/22/2012","AQS","171190024","5","12.1","ug/m3 LC","51","Gateway Regional Medical Center","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","41180","St. Louis, MO-IL","17","Illinois","119","Madison","38.7006315001362","-90.1447626742938"
"01/28/2012","AQS","171190024","5","6.2","ug/m3 LC","26","Gateway Regional Medical Center","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","41180","St. Louis, MO-IL","17","Illinois","119","Madison","38.7006315001362","-90.1447626742938"
"02/03/2012","AQS","171190024","5","10.3","ug/m3 LC","43","Gateway Regional Medical Center","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","41180","St. Louis, MO-IL","17","Illinois","119","Madison","38.7006315001362","-90.1447626742938"
"02/15/2012","AQS","171190024","5","11.7","ug/m3 LC","49","Gateway Regional Medical Center","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","41180","St. Louis, MO-IL","17","Illinois","119","Madison","38.7006315001362","-90.1447626742938"
"02/21/2012","AQS","171190024","5","5.9","ug/m3 LC","25","Gateway Regional Medical Center","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","41180","St. Louis, MO-IL","17","Illinois","119","Madison","38.7006315001362","-90.1447626742938"
"02/27/2012","AQS","171190024","5","6.3","ug/m3 LC","26","Gateway Regional Medical Center","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","41180","St. Louis, MO-IL","17","Illinois","119","Madison","38.7006315001362","-90.1447626742938"
"03/04/2012","AQS","171190024","5","20.6","ug/m3 LC","69","Gateway Regional Medical Center","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","41180","St. Louis, MO-IL","17","Illinois","119","Madison","38.7006315001362","-90.1447626742938"
"03/10/2012","AQS","171190024","5","11.9","ug/m3 LC","50","Gateway Regional Medical Center","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","41180","St. Louis, MO-IL","17","Illinois","119","Madison","38.7006315001362","-90.1447626742938"
"03/16/2012","AQS","171190024","5","10.2","ug/m3 LC","43","Gateway Regional Medical Center","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","41180","St. Louis, MO-IL","17","Illinois","119","Madison","38.7006315001362","-90.1447626742938"
"03/22/2012","AQS","171190024","5","7.7","ug/m3 LC","32","Gateway Regional Medical Center","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","41180","St. Louis, MO-IL","17","Illinois","119","Madison","38.7006315001362","-90.1447626742938"
"03/28/2012","AQS","171190024","5","14","ug/m3 LC","55","Gateway Regional Medical Center","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","41180","St. Louis, MO-IL","17","Illinois","119","Madison","38.7006315001362","-90.1447626742938"
"04/03/2012","AQS","171190024","5","23.4","ug/m3 LC","75","Gateway Regional Medical Center","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","41180","St. Louis, MO-IL","17","Illinois","119","Madison","38.7006315001362","-90.1447626742938"
