"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"10/04/2017","AQS","170830117","3","10.2","ug/m3 LC","43","JERSEYVILLE WATER TREATMENT PLANT (WTP)","1","100.0000","88101","PM2.5 - Local Conditions","41180","St. Louis, MO-IL","17","Illinois","083","Jersey","39.101439","-90.344494"
"10/05/2017","AQS","170830117","3","6.8","ug/m3 LC","28","JERSEYVILLE WATER TREATMENT PLANT (WTP)","1","100.0000","88101","PM2.5 - Local Conditions","41180","St. Louis, MO-IL","17","Illinois","083","Jersey","39.101439","-90.344494"
"10/06/2017","AQS","170830117","3","14.3","ug/m3 LC","56","JERSEYVILLE WATER TREATMENT PLANT (WTP)","1","100.0000","88101","PM2.5 - Local Conditions","41180","St. Louis, MO-IL","17","Illinois","083","Jersey","39.101439","-90.344494"
"10/07/2017","AQS","170830117","3","8.4","ug/m3 LC","35","JERSEYVILLE WATER TREATMENT PLANT (WTP)","1","100.0000","88101","PM2.5 - Local Conditions","41180","St. Louis, MO-IL","17","Illinois","083","Jersey","39.101439","-90.344494"
"10/08/2017","AQS","170830117","3","5.4","ug/m3 LC","23","JERSEYVILLE WATER TREATMENT PLANT (WTP)","1","100.0000","88101","PM2.5 - Local Conditions","41180","St. Louis, MO-IL","17","Illinois","083","Jersey","39.101439","-90.344494"
"10/09/2017","AQS","170830117","3","11.8","ug/m3 LC","49","JERSEYVILLE WATER TREATMENT PLANT (WTP)","1","100.0000","88101","PM2.5 - Local Conditions","41180","St. Louis, MO-IL","17","Illinois","083","Jersey","39.101439","-90.344494"
"10/10/2017","AQS","170830117","3","5.8","ug/m3 LC","24","JERSEYVILLE WATER TREATMENT PLANT (WTP)","1","100.0000","88101","PM2.5 - Local Conditions","41180","St. Louis, MO-IL","17","Illinois","083","Jersey","39.101439","-90.344494"
"10/11/2017","AQS","170830117","3","3.9","ug/m3 LC","16","JERSEYVILLE WATER TREATMENT PLANT (WTP)","1","100.0000","88101","PM2.5 - Local Conditions","41180","St. Louis, MO-IL","17","Illinois","083","Jersey","39.101439","-90.344494"
"10/12/2017","AQS","170830117","3","7.2","ug/m3 LC","30","JERSEYVILLE WATER TREATMENT PLANT (WTP)","1","100.0000","88101","PM2.5 - Local Conditions","41180","St. Louis, MO-IL","17","Illinois","083","Jersey","39.101439","-90.344494"
"10/13/2017","AQS","170830117","3","13.4","ug/m3 LC","54","JERSEYVILLE WATER TREATMENT PLANT (WTP)","1","100.0000","88101","PM2.5 - Local Conditions","41180","St. Louis, MO-IL","17","Illinois","083","Jersey","39.101439","-90.344494"
"10/14/2017","AQS","170830117","3","16.7","ug/m3 LC","61","JERSEYVILLE WATER TREATMENT PLANT (WTP)","1","100.0000","88101","PM2.5 - Local Conditions","41180","St. Louis, MO-IL","17","Illinois","083","Jersey","39.101439","-90.344494"
"10/15/2017","AQS","170830117","3","3.5","ug/m3 LC","15","JERSEYVILLE WATER TREATMENT PLANT (WTP)","1","100.0000","88101","PM2.5 - Local Conditions","41180","St. Louis, MO-IL","17","Illinois","083","Jersey","39.101439","-90.344494"
"10/16/2017","AQS","170830117","3","4.9","ug/m3 LC","20","JERSEYVILLE WATER TREATMENT PLANT (WTP)","1","100.0000","88101","PM2.5 - Local Conditions","41180","St. Louis, MO-IL","17","Illinois","083","Jersey","39.101439","-90.344494"
"10/17/2017","AQS","170830117","3","4.4","ug/m3 LC","18","JERSEYVILLE WATER TREATMENT PLANT (WTP)","1","100.0000","88101","PM2.5 - Local Conditions","41180","St. Louis, MO-IL","17","Illinois","083","Jersey","39.101439","-90.344494"
"10/18/2017","AQS","170830117","3","8.5","ug/m3 LC","35","JERSEYVILLE WATER TREATMENT PLANT (WTP)","1","100.0000","88101","PM2.5 - Local Conditions","41180","St. Louis, MO-IL","17","Illinois","083","Jersey","39.101439","-90.344494"
"10/19/2017","AQS","170830117","3","16.5","ug/m3 LC","60","JERSEYVILLE WATER TREATMENT PLANT (WTP)","1","100.0000","88101","PM2.5 - Local Conditions","41180","St. Louis, MO-IL","17","Illinois","083","Jersey","39.101439","-90.344494"
"10/20/2017","AQS","170830117","3","19","ug/m3 LC","66","JERSEYVILLE WATER TREATMENT PLANT (WTP)","1","100.0000","88101","PM2.5 - Local Conditions","41180","St. Louis, MO-IL","17","Illinois","083","Jersey","39.101439","-90.344494"
"10/21/2017","AQS","170830117","3","11.1","ug/m3 LC","46","JERSEYVILLE WATER TREATMENT PLANT (WTP)","1","100.0000","88101","PM2.5 - Local Conditions","41180","St. Louis, MO-IL","17","Illinois","083","Jersey","39.101439","-90.344494"
"10/22/2017","AQS","170830117","3","4.9","ug/m3 LC","20","JERSEYVILLE WATER TREATMENT PLANT (WTP)","1","100.0000","88101","PM2.5 - Local Conditions","41180","St. Louis, MO-IL","17","Illinois","083","Jersey","39.101439","-90.344494"
"10/23/2017","AQS","170830117","3","4.5","ug/m3 LC","19","JERSEYVILLE WATER TREATMENT PLANT (WTP)","1","100.0000","88101","PM2.5 - Local Conditions","41180","St. Louis, MO-IL","17","Illinois","083","Jersey","39.101439","-90.344494"
"10/24/2017","AQS","170830117","3","4.5","ug/m3 LC","19","JERSEYVILLE WATER TREATMENT PLANT (WTP)","1","100.0000","88101","PM2.5 - Local Conditions","41180","St. Louis, MO-IL","17","Illinois","083","Jersey","39.101439","-90.344494"
"10/25/2017","AQS","170830117","3","5.5","ug/m3 LC","23","JERSEYVILLE WATER TREATMENT PLANT (WTP)","1","100.0000","88101","PM2.5 - Local Conditions","41180","St. Louis, MO-IL","17","Illinois","083","Jersey","39.101439","-90.344494"
"10/26/2017","AQS","170830117","3","6.5","ug/m3 LC","27","JERSEYVILLE WATER TREATMENT PLANT (WTP)","1","100.0000","88101","PM2.5 - Local Conditions","41180","St. Louis, MO-IL","17","Illinois","083","Jersey","39.101439","-90.344494"
"10/27/2017","AQS","170830117","3","3","ug/m3 LC","13","JERSEYVILLE WATER TREATMENT PLANT (WTP)","1","100.0000","88101","PM2.5 - Local Conditions","41180","St. Louis, MO-IL","17","Illinois","083","Jersey","39.101439","-90.344494"
"10/28/2017","AQS","170830117","3","2.4","ug/m3 LC","10","JERSEYVILLE WATER TREATMENT PLANT (WTP)","1","100.0000","88101","PM2.5 - Local Conditions","41180","St. Louis, MO-IL","17","Illinois","083","Jersey","39.101439","-90.344494"
"10/29/2017","AQS","170830117","3","6.5","ug/m3 LC","27","JERSEYVILLE WATER TREATMENT PLANT (WTP)","1","100.0000","88101","PM2.5 - Local Conditions","41180","St. Louis, MO-IL","17","Illinois","083","Jersey","39.101439","-90.344494"
"10/30/2017","AQS","170830117","3","3.6","ug/m3 LC","15","JERSEYVILLE WATER TREATMENT PLANT (WTP)","1","100.0000","88101","PM2.5 - Local Conditions","41180","St. Louis, MO-IL","17","Illinois","083","Jersey","39.101439","-90.344494"
"10/31/2017","AQS","170830117","3","4.8","ug/m3 LC","20","JERSEYVILLE WATER TREATMENT PLANT (WTP)","1","100.0000","88101","PM2.5 - Local Conditions","41180","St. Louis, MO-IL","17","Illinois","083","Jersey","39.101439","-90.344494"
"11/01/2017","AQS","170830117","3","8.7","ug/m3 LC","36","JERSEYVILLE WATER TREATMENT PLANT (WTP)","1","100.0000","88101","PM2.5 - Local Conditions","41180","St. Louis, MO-IL","17","Illinois","083","Jersey","39.101439","-90.344494"
"11/02/2017","AQS","170830117","3","12.9","ug/m3 LC","53","JERSEYVILLE WATER TREATMENT PLANT (WTP)","1","100.0000","88101","PM2.5 - Local Conditions","41180","St. Louis, MO-IL","17","Illinois","083","Jersey","39.101439","-90.344494"
"11/03/2017","AQS","170830117","3","15.4","ug/m3 LC","58","JERSEYVILLE WATER TREATMENT PLANT (WTP)","1","100.0000","88101","PM2.5 - Local Conditions","41180","St. Louis, MO-IL","17","Illinois","083","Jersey","39.101439","-90.344494"
"11/04/2017","AQS","170830117","3","12.3","ug/m3 LC","51","JERSEYVILLE WATER TREATMENT PLANT (WTP)","1","100.0000","88101","PM2.5 - Local Conditions","41180","St. Louis, MO-IL","17","Illinois","083","Jersey","39.101439","-90.344494"
"11/05/2017","AQS","170830117","3","13.3","ug/m3 LC","54","JERSEYVILLE WATER TREATMENT PLANT (WTP)","1","100.0000","88101","PM2.5 - Local Conditions","41180","St. Louis, MO-IL","17","Illinois","083","Jersey","39.101439","-90.344494"
"11/06/2017","AQS","170830117","3","10.9","ug/m3 LC","45","JERSEYVILLE WATER TREATMENT PLANT (WTP)","1","100.0000","88101","PM2.5 - Local Conditions","41180","St. Louis, MO-IL","17","Illinois","083","Jersey","39.101439","-90.344494"
"11/07/2017","AQS","170830117","3","8.2","ug/m3 LC","34","JERSEYVILLE WATER TREATMENT PLANT (WTP)","1","100.0000","88101","PM2.5 - Local Conditions","41180","St. Louis, MO-IL","17","Illinois","083","Jersey","39.101439","-90.344494"
"11/08/2017","AQS","170830117","3","10.7","ug/m3 LC","45","JERSEYVILLE WATER TREATMENT PLANT (WTP)","1","100.0000","88101","PM2.5 - Local Conditions","41180","St. Louis, MO-IL","17","Illinois","083","Jersey","39.101439","-90.344494"
"11/09/2017","AQS","170830117","3","9.1","ug/m3 LC","38","JERSEYVILLE WATER TREATMENT PLANT (WTP)","1","100.0000","88101","PM2.5 - Local Conditions","41180","St. Louis, MO-IL","17","Illinois","083","Jersey","39.101439","-90.344494"
"11/10/2017","AQS","170830117","3","4.1","ug/m3 LC","17","JERSEYVILLE WATER TREATMENT PLANT (WTP)","1","100.0000","88101","PM2.5 - Local Conditions","41180","St. Louis, MO-IL","17","Illinois","083","Jersey","39.101439","-90.344494"
